BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIM_NO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status 
8,Zagazig,2021-01-10,150000,A,NORM,Normal,0,2026-02-16,Travel Rewards Card,200,500,2302.5,147288.29,34466.2,2026-02-27,1501.39,F,1977-01-07,Elsewedy Capital,Primary,100005,,0.0,62,MC-OLD,,,NORM
4,Mansoura,2023-08-07,75000,I,CLSB,Closed by Bank,0,2026-02-19,Platinum Credit Card,200,1000,48488.25,26422.09,490.16,2026-02-21,881.7,F,1989-05-26,Freelancer,Secondary,100006,2026-01-16,0.0,31,VISA-OLD,,,CLSB
4,Mansoura,2023-09-19,100000,A,90DA,90 Days Delinquent,90,2026-02-25,World Elite Card,500,1000,17027.07,82534.26,17265.84,2026-02-26,602.32,M,1966-03-16,National Bank of Egypt,Primary,100007,,52055.13,29,MC-OLD,,,90DA
4,Mansoura,2023-09-19,100000,I,CLSB,Closed by Bank,0,2026-02-25,Travel Rewards Card,500,1000,58958.03,40591.45,5876.51,2026-02-23,1785.96,M,1966-03-16,National Bank of Egypt,Primary,100007,2026-01-10,0.0,29,MC-OLD,,,CLSB
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-03-01,Cashback Card,200,300,4665.82,0.0,430.31,2026-02-01,689.78,M,1971-04-12,CIB,Primary,100008,,0.0,23,,,,NORM
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-02-18,Business Credit Card,200,300,2478.0,2093.02,174.33,2026-02-24,1039.5,M,1971-04-12,CIB,Primary,100008,,0.0,23,,,,NORM
1,Cairo Main,2020-12-14,150000,A,30DD,30 Days Delinquent,30,2026-02-25,World Elite Card,100,150,-6819.52,143168.37,4212.33,2026-02-09,905.57,F,1992-05-22,Orascom,Primary,100009,,21100.95,63,MC-OLD,VISA-OLD2,,30DD
1,Cairo Main,2021-08-20,100000,A,30DD,30 Days Delinquent,30,2026-02-23,Platinum Credit Card,200,150,89417.59,10089.89,13341.22,2026-02-21,1462.27,M,1986-11-13,Vodafone Egypt,Primary,100010,,9069.09,55,MC-OLD,,,30DD
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-02-21,Classic Credit Card,100,300,-410.95,9305.36,949.97,2026-02-06,1435.54,F,1992-10-30,Ministry of Health,Secondary,100011,,0.0,33,MC-OLD,,,NORM
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-02-17,Cashback Card,100,300,3202.11,6432.97,591.39,2026-02-28,1260.28,F,1992-10-30,Ministry of Health,Secondary,100011,,0.0,33,MC-OLD,,,NORM
5,Tanta,2022-03-10,100000,A,30DD,30 Days Delinquent,30,2026-02-23,World Elite Card,100,1000,79113.75,20494.34,130.33,2026-02-15,134.73,M,1977-11-24,Government,Primary,100012,,48576.71,48,,,,30DD
2,Giza,2021-09-15,10000,A,NORM,Normal,0,2026-02-28,Cashback Card,500,150,7334.64,2589.59,2674.02,2026-02-02,1440.08,M,1961-05-29,Government,Primary,100013,,0.0,54,MC-OLD,VISA-OLD2,,NORM
8,Zagazig,2023-04-22,75000,A,NORM,Normal,0,2026-02-21,Titanium Credit Card,200,500,32141.16,42724.63,17397.78,2026-02-16,1739.36,F,1970-11-25,El Sewedy Electric,Primary,100014,,0.0,34,,,,NORM
1,Cairo Main,2021-10-21,10000,A,NORM,Normal,0,2026-02-15,Cashback Card,500,150,9424.94,468.8,2027.09,2026-02-01,762.05,F,1978-01-22,Elsewedy Capital,Primary,100015,,0.0,53,VISA-OLD,,,NORM
2,Giza,2024-03-04,10000,A,LOST,Lost,0,2026-02-17,Cashback Card,0,0,4349.84,5180.91,1496.3,2026-02-06,1480.13,M,1979-11-17,Orange Egypt,Primary,100016,,0.0,24,VISA-OLD,,,LOST
2,Giza,2024-03-04,10000,A,NORM,Normal,0,2026-02-21,Business Credit Card,0,0,1171.88,8823.76,1819.77,2026-02-18,572.08,M,1979-11-17,Orange Egypt,Primary,100016,,0.0,24,VISA-OLD,,,NORM
4,Mansoura,2022-07-01,5000,A,NORM,Normal,0,2026-02-18,Gold Credit Card,500,300,4308.9,624.56,1375.84,2026-02-11,559.86,F,1998-10-14,Orascom,Primary,100017,,0.0,44,MC-OLD,,,NORM
3,Alexandria,2021-04-30,20000,A,60DA,60 Days Delinquent,60,2026-02-18,Cashback Card,0,300,-908.03,18658.43,4581.59,2026-02-09,187.16,M,1968-07-08,Orange Egypt,Primary,100018,,2174.07,58,VISA-OLD,VISA-OLD2,,60DA
9,Ismailia,2018-08-21,150000,A,NEW,New,0,2026-03-01,World Elite Card,500,0,18885.96,131089.08,3485.04,2026-02-08,1797.84,M,1967-01-23,National Bank of Egypt,Primary,100019,,0.0,91,,VISA-OLD2,,NEW
9,Ismailia,2018-08-21,150000,A,NORM,Normal,0,2026-02-28,Travel Rewards Card,500,0,2281.6,147545.91,24340.2,2026-01-31,97.58,M,1967-01-23,National Bank of Egypt,Primary,100019,,0.0,91,,VISA-OLD2,,NORM
9,Ismailia,2018-08-21,150000,A,LOST,Lost,0,2026-02-28,Gold Credit Card,500,0,100565.37,49146.09,12862.86,2026-02-04,1276.11,M,1967-01-23,National Bank of Egypt,Primary,100019,,0.0,91,,VISA-OLD2,,LOST
2,Giza,2024-07-18,200000,A,NORM,Normal,0,2026-02-17,Platinum Credit Card,100,300,-7098.47,192780.53,23097.72,2026-02-17,1017.94,F,1978-10-21,Government,Primary,100020,,0.0,19,,,,NORM
6,Assiut,2018-10-25,5000,A,NORM,Normal,0,2026-02-26,Cashback Card,0,1000,621.28,4213.63,411.66,2026-02-12,1291.45,M,1993-09-22,Freelancer,Primary,100021,,0.0,89,,,,NORM
6,Assiut,2018-10-25,5000,A,NORM,Normal,0,2026-02-23,Classic Credit Card,0,1000,1904.93,2918.94,63.09,2026-02-27,1278.32,M,1993-09-22,Freelancer,Primary,100021,,0.0,89,,,,NORM
2,Giza,2020-09-27,50000,A,NORM,Normal,0,2026-02-20,Titanium Credit Card,0,1000,16174.08,33360.22,6710.68,2026-02-16,974.12,F,1999-06-10,Juhayna,Secondary,100022,,0.0,66,,,,NORM
5,Tanta,2019-03-15,150000,A,WROF,Write Off,180,2026-02-28,World Elite Card,200,1000,71454.09,78527.86,39985.98,2026-02-09,1580.62,F,1965-03-06,Banque Misr,Primary,100023,2026-02-20,86604.96,84,,,,WROF
7,Luxor,2021-02-07,5000,A,30DD,30 Days Delinquent,30,2026-02-23,Classic Credit Card,200,150,1625.19,3071.66,725.6,2026-02-08,205.66,F,1997-03-15,Vodafone Egypt,Primary,100024,,2234.79,61,VISA-OLD,VISA-OLD2,,30DD
1,Cairo Main,2018-11-05,15000,A,NORM,Normal,0,2026-02-16,Gold Credit Card,100,500,4261.56,10274.52,507.7,2026-02-15,1137.5,M,1965-01-06,Ministry of Health,Primary,100025,,0.0,89,,,,NORM
6,Assiut,2020-10-19,10000,A,NORM,Normal,0,2026-02-23,Gold Credit Card,100,150,7731.85,2048.88,1991.99,2026-02-10,319.66,M,1969-06-03,IBM Egypt,Secondary,100026,,0.0,65,,,,NORM
6,Assiut,2020-10-19,10000,A,NORM,Normal,0,2026-03-01,Travel Rewards Card,100,150,8132.74,1507.55,998.52,2026-02-01,1958.08,M,1969-06-03,IBM Egypt,Secondary,100026,,0.0,65,,,,NORM
1,Cairo Main,2021-09-22,75000,A,NORM,Normal,0,2026-02-27,Platinum Credit Card,500,150,7430.32,67391.41,13231.41,2026-02-11,843.96,M,1968-01-17,Elsewedy Capital,Secondary,100027,,0.0,54,VISA-OLD,,,NORM
5,Tanta,2020-07-21,20000,A,NORM,Normal,0,2026-02-22,Gold Credit Card,0,300,1148.97,18666.22,5924.33,2026-02-17,1157.0,F,1996-10-21,Vodafone Egypt,Primary,100028,,0.0,68,VISA-OLD,VISA-OLD2,,NORM
5,Tanta,2020-07-21,20000,A,NEW,New,0,2026-02-17,Cashback Card,0,300,13982.78,5935.67,2401.08,2026-02-23,284.05,F,1996-10-21,Vodafone Egypt,Primary,100028,,0.0,68,VISA-OLD,VISA-OLD2,,NEW
6,Assiut,2019-04-18,30000,A,NORM,Normal,0,2026-02-28,Gold Credit Card,500,300,21468.47,8290.54,598.82,2026-02-11,660.5,F,1961-03-28,Orascom,Primary,100029,,0.0,83,MC-OLD,,,NORM
6,Assiut,2019-04-18,30000,A,WROF,Write Off,180,2026-02-23,Cashback Card,500,300,26264.46,3521.66,7333.09,2026-02-01,1552.74,F,1961-03-28,Orascom,Primary,100029,2026-03-01,8985.35,83,MC-OLD,,,WROF
7,Luxor,2020-02-18,30000,A,NORM,Normal,0,2026-02-15,Classic Credit Card,100,300,21843.83,7985.68,1608.93,2026-02-23,1507.9,F,1985-11-11,Orange Egypt,Primary,100030,,0.0,73,,VISA-OLD2,,NORM
7,Luxor,2020-02-18,30000,A,NORM,Normal,0,2026-02-19,Cashback Card,100,300,14645.53,15030.8,626.69,2026-02-20,741.95,F,1985-11-11,Orange Egypt,Primary,100030,,0.0,73,,VISA-OLD2,,NORM
6,Assiut,2019-05-26,30000,A,60DA,60 Days Delinquent,60,2026-02-20,Gold Credit Card,200,1000,-1071.25,28768.78,3838.22,2026-02-17,1936.56,M,1989-10-03,Government,Primary,100031,,15808.79,82,VISA-OLD,,,60DA
10,Suez,2021-05-17,75000,A,NORM,Normal,0,2026-03-01,Titanium Credit Card,500,1000,35369.02,39221.89,12041.34,2026-01-30,1128.61,F,1985-07-12,Ministry of Health,Primary,100032,,0.0,58,VISA-OLD,,,NORM
10,Suez,2021-05-17,75000,A,NORM,Normal,0,2026-02-15,Platinum Credit Card,500,1000,62272.59,12306.22,17224.33,2026-02-08,447.52,F,1985-07-12,Ministry of Health,Primary,100032,,0.0,58,VISA-OLD,,,NORM
10,Suez,2021-05-17,75000,I,CLSB,Closed by Bank,0,2026-02-14,Gold Credit Card,500,1000,59013.13,15511.8,10257.31,2026-02-03,1493.79,F,1985-07-12,Ministry of Health,Primary,100032,2026-01-30,0.0,58,VISA-OLD,,,CLSB
9,Ismailia,2019-11-27,10000,A,90DA,90 Days Delinquent,90,2026-02-25,Cashback Card,200,0,269.14,9350.88,2079.88,2026-02-18,961.46,M,1981-03-23,Juhayna,Primary,100033,,2108.69,76,,,,90DA
3,Alexandria,2018-07-09,20000,A,NORM,Normal,0,2026-02-28,Business Credit Card,500,1000,6188.65,13810.8,51.72,2026-02-09,1814.8,M,1961-02-04,Self Employed,Primary,100034,,0.0,93,VISA-OLD,,,NORM
3,Alexandria,2018-07-09,20000,A,NORM,Normal,0,2026-02-21,Titanium Credit Card,500,1000,-990.95,18938.27,844.87,2026-02-01,590.41,M,1961-02-04,Self Employed,Primary,100034,,0.0,93,VISA-OLD,,,NORM
7,Luxor,2019-08-28,5000,A,NORM,Normal,0,2026-02-18,Classic Credit Card,500,0,637.18,4023.91,1108.29,2026-02-27,966.86,M,1970-12-11,CIB,Secondary,100035,,0.0,79,,,,NORM
7,Luxor,2019-08-28,5000,A,WROF,Write Off,180,2026-02-16,Cashback Card,500,0,2976.63,1530.64,180.46,2026-02-09,1159.25,M,1970-12-11,CIB,Secondary,100035,2026-01-01,734.84,79,,,,WROF
3,Alexandria,2023-03-19,150000,A,NEW,New,0,2026-02-16,Platinum Credit Card,500,1000,2062.99,147754.63,15744.02,2026-02-09,797.52,F,1995-12-13,Ministry of Health,Secondary,100036,,0.0,35,VISA-OLD,,,NEW
3,Alexandria,2023-03-19,150000,A,90DA,90 Days Delinquent,90,2026-02-17,Travel Rewards Card,500,1000,49058.34,100921.31,23580.68,2026-02-07,469.06,F,1995-12-13,Ministry of Health,Secondary,100036,,55041.3,35,VISA-OLD,,,90DA
5,Tanta,2020-10-09,30000,A,NORM,Normal,0,2026-02-18,Classic Credit Card,0,300,5379.45,24611.82,1371.05,2026-02-06,1872.34,M,1993-09-21,Government,Primary,100037,,0.0,65,,VISA-OLD2,,NORM
2,Giza,2019-09-10,20000,I,CLSB,Closed by Bank,0,2026-02-18,Cashback Card,0,500,17844.5,1662.29,4681.99,2026-02-16,1248.29,F,1966-03-17,Microsoft Egypt,Primary,100038,2026-02-17,0.0,78,VISA-OLD,,,CLSB
2,Giza,2019-09-10,20000,A,LOST,Lost,0,2026-02-27,Gold Credit Card,0,500,1828.28,17752.83,4561.43,2026-02-10,487.75,F,1966-03-17,Microsoft Egypt,Primary,100038,,0.0,78,VISA-OLD,,,LOST
1,Cairo Main,2022-09-17,75000,A,NEW,New,0,2026-02-20,Platinum Credit Card,0,300,-6453.79,68535.58,10760.42,2026-02-06,486.49,F,1969-04-11,Cairo University,Primary,100039,,0.0,42,VISA-OLD,VISA-OLD2,,NEW
1,Cairo Main,2022-09-17,75000,A,NORM,Normal,0,2026-02-26,World Elite Card,0,300,1478.89,73274.69,1858.86,2026-02-08,1889.37,F,1969-04-11,Cairo University,Primary,100039,,0.0,42,VISA-OLD,VISA-OLD2,,NORM
1,Cairo Main,2022-09-17,75000,A,NORM,Normal,0,2026-02-25,Cashback Card,0,300,47790.3,27187.77,9428.83,2026-02-16,61.46,F,1969-04-11,Cairo University,Primary,100039,,0.0,42,VISA-OLD,VISA-OLD2,,NORM
9,Ismailia,2024-10-06,20000,A,NORM,Normal,0,2026-02-23,Business Credit Card,500,300,6427.84,13291.9,4016.55,2026-02-06,1689.39,F,1995-11-18,Self Employed,Primary,100040,,0.0,17,VISA-OLD,,,NORM
10,Suez,2018-04-21,75000,I,CLSC,Closed by Customer,0,2026-02-23,Platinum Credit Card,500,150,39582.53,34985.71,7169.5,2026-01-30,1015.2,M,1983-12-17,Cairo University,Primary,100041,2026-02-15,0.0,95,,,,CLSC
8,Zagazig,2021-10-14,75000,A,60DA,60 Days Delinquent,60,2026-02-20,Titanium Credit Card,0,500,20704.83,53847.95,12835.24,2026-02-25,943.99,M,1974-08-30,Talaat Moustafa Group,Primary,100042,,27205.47,53,,,,60DA
8,Zagazig,2021-10-14,75000,A,NORM,Normal,0,2026-02-16,Platinum Credit Card,0,500,12356.74,62522.03,22161.4,2026-01-31,774.68,M,1974-08-30,Talaat Moustafa Group,Primary,100042,,0.0,53,,,,NORM
4,Mansoura,2018-10-09,5000,A,NORM,Normal,0,2026-02-23,Classic Credit Card,100,150,3866.71,727.13,137.43,2026-02-28,1989.83,F,1989-02-28,Vodafone Egypt,Primary,100043,,0.0,90,MC-OLD,,,NORM
4,Mansoura,2018-10-09,5000,A,NORM,Normal,0,2026-02-18,Cashback Card,100,150,228.22,4443.08,219.38,2026-02-15,1036.9,F,1989-02-28,Vodafone Egypt,Primary,100043,,0.0,90,MC-OLD,,,NORM
4,Mansoura,2018-10-09,5000,A,NORM,Normal,0,2026-02-24,Platinum Credit Card,100,150,2328.31,2539.76,1482.75,2026-01-31,996.12,F,1989-02-28,Vodafone Egypt,Primary,100043,,0.0,90,MC-OLD,,,NORM
8,Zagazig,2020-11-15,50000,A,NORM,Normal,0,2026-02-25,Platinum Credit Card,200,0,-4862.78,44731.8,311.87,2026-02-06,782.25,M,1991-05-18,Orascom,Secondary,100044,,0.0,64,MC-OLD,,,NORM
8,Zagazig,2020-11-15,50000,A,NORM,Normal,0,2026-03-01,Travel Rewards Card,200,0,10970.2,38656.66,4794.44,2026-02-03,1178.46,M,1991-05-18,Orascom,Secondary,100044,,0.0,64,MC-OLD,,,NORM
7,Luxor,2020-03-23,10000,A,NEW,New,0,2026-02-14,Cashback Card,0,300,2548.16,7347.6,2632.23,2026-02-24,801.29,M,1992-01-27,Cairo University,Primary,100045,,0.0,72,MC-OLD,,,NEW
7,Luxor,2020-03-23,10000,A,30DD,30 Days Delinquent,30,2026-02-22,Gold Credit Card,0,300,6661.15,2899.3,960.8,2026-02-22,841.62,M,1992-01-27,Cairo University,Primary,100045,,4328.41,72,MC-OLD,,,30DD
6,Assiut,2022-10-21,50000,A,30DD,30 Days Delinquent,30,2026-02-23,Titanium Credit Card,0,500,6396.2,43304.66,12177.35,2026-01-31,178.82,F,1983-11-24,National Bank of Egypt,Primary,100046,,22997.5,40,,,,30DD
3,Alexandria,2019-12-23,150000,A,NORM,Normal,0,2026-02-22,Platinum Credit Card,200,300,98775.15,50930.18,2968.49,2026-02-12,886.73,M,1979-07-15,Talaat Moustafa Group,Secondary,100047,,0.0,75,,,,NORM
3,Alexandria,2019-12-23,150000,A,NORM,Normal,0,2026-02-28,Travel Rewards Card,200,300,-14440.64,135089.1,7807.06,2026-02-01,1287.39,M,1979-07-15,Talaat Moustafa Group,Secondary,100047,,0.0,75,,,,NORM
8,Zagazig,2023-03-19,200000,A,LOST,Lost,0,2026-02-19,Platinum Credit Card,100,500,50543.69,148980.39,32625.31,2026-02-26,1886.65,M,1970-12-09,Military,Primary,100048,,0.0,35,,,,LOST
8,Zagazig,2023-03-19,200000,A,90DA,90 Days Delinquent,90,2026-02-21,Travel Rewards Card,100,500,111248.59,88726.12,42376.63,2026-02-27,1266.71,M,1970-12-09,Military,Primary,100048,,88881.61,35,,,,90DA
5,Tanta,2024-09-07,30000,A,NORM,Normal,0,2026-02-24,Classic Credit Card,500,500,-211.61,29403.23,4804.11,2026-02-16,1285.39,M,1999-06-28,Ministry of Health,Primary,100049,,0.0,18,VISA-OLD,,,NORM
1,Cairo Main,2021-04-20,20000,A,NORM,Normal,0,2026-02-16,Gold Credit Card,200,500,15026.26,4903.57,3119.48,2026-02-24,697.58,F,1964-03-04,Microsoft Egypt,Primary,100050,,0.0,59,MC-OLD,,,NORM
1,Cairo Main,2021-04-20,20000,I,CNCD,Cancelled,0,2026-02-21,Cashback Card,200,500,13981.68,5866.77,4614.62,2026-02-14,1693.61,F,1964-03-04,Microsoft Egypt,Primary,100050,,0.0,59,MC-OLD,,,CNCD
6,Assiut,2023-02-02,30000,I,CLSB,Closed by Bank,0,2026-02-27,Classic Credit Card,200,0,25707.86,4182.0,8815.3,2026-02-02,1361.76,M,1991-07-12,Juhayna,Primary,100051,2026-02-27,0.0,37,VISA-OLD,,,CLSB
10,Suez,2023-11-19,200000,A,LOST,Lost,0,2026-02-16,World Elite Card,100,300,121612.07,78017.09,29831.68,2026-02-28,405.61,M,1994-02-06,Juhayna,Secondary,100052,,0.0,27,MC-OLD,,,LOST
10,Suez,2023-11-19,200000,A,NORM,Normal,0,2026-02-26,Travel Rewards Card,100,300,85806.02,113704.61,44819.76,2026-02-25,279.86,M,1994-02-06,Juhayna,Secondary,100052,,0.0,27,MC-OLD,,,NORM
10,Suez,2023-11-19,200000,A,NORM,Normal,0,2026-02-18,Platinum Credit Card,100,300,28883.91,170616.74,38858.33,2026-02-05,1514.94,M,1994-02-06,Juhayna,Secondary,100052,,0.0,27,MC-OLD,,,NORM
10,Suez,2023-11-19,200000,A,NORM,Normal,0,2026-02-26,Classic Credit Card,100,300,150581.84,49204.59,30545.23,2026-02-06,957.43,M,1994-02-06,Juhayna,Secondary,100052,,0.0,27,MC-OLD,,,NORM
3,Alexandria,2023-07-04,10000,I,CLSB,Closed by Bank,0,2026-02-23,Gold Credit Card,200,150,315.29,9419.32,2780.51,2026-02-03,864.88,M,1988-08-11,Vodafone Egypt,Primary,100053,2026-02-03,0.0,32,VISA-OLD,,,CLSB
2,Giza,2023-07-08,10000,A,NORM,Normal,0,2026-02-17,Classic Credit Card,200,0,5980.41,3840.82,2637.29,2026-02-26,1564.63,M,1977-12-22,Cairo University,Primary,100054,,0.0,32,VISA-OLD,VISA-OLD2,,NORM
2,Giza,2023-07-08,10000,A,NORM,Normal,0,2026-02-24,Cashback Card,200,0,8705.34,1208.71,1275.34,2026-02-23,869.96,M,1977-12-22,Cairo University,Primary,100054,,0.0,32,VISA-OLD,VISA-OLD2,,NORM
10,Suez,2024-12-08,20000,A,NORM,Normal,0,2026-02-23,Gold Credit Card,500,300,12513.73,7480.67,2685.28,2026-02-06,794.16,M,1995-06-21,Government,Primary,100055,,0.0,14,,,,NORM
4,Mansoura,2018-11-29,15000,A,LOST,Lost,0,2026-03-01,Classic Credit Card,500,500,14084.79,752.78,2087.1,2026-02-23,1161.56,F,1971-11-14,Elsewedy Capital,Primary,100056,,0.0,88,,,,LOST
5,Tanta,2023-02-03,10000,A,NORM,Normal,0,2026-02-19,Cashback Card,100,500,2338.91,7393.36,1024.2,2026-02-24,953.24,M,1991-07-14,Elsewedy Capital,Primary,100057,,0.0,37,,,,NORM
5,Tanta,2023-02-03,10000,A,NORM,Normal,0,2026-02-14,World Elite Card,100,500,3555.26,5957.47,1140.55,2026-02-02,49.88,M,1991-07-14,Elsewedy Capital,Primary,100057,,0.0,37,,,,NORM
5,Tanta,2023-02-03,10000,I,CLSB,Closed by Bank,0,2026-03-01,Business Credit Card,100,500,8577.42,1237.9,87.98,2026-02-05,144.88,M,1991-07-14,Elsewedy Capital,Primary,100057,2026-02-09,0.0,37,,,,CLSB
3,Alexandria,2018-09-02,15000,A,60DA,60 Days Delinquent,60,2026-02-17,Cashback Card,500,0,13227.32,1710.28,1483.48,2026-01-31,1102.87,F,1963-03-15,Juhayna,Primary,100058,,4246.94,91,VISA-OLD,,,60DA
3,Alexandria,2018-09-02,15000,A,NORM,Normal,0,2026-02-18,Platinum Credit Card,500,0,-397.96,14190.56,3903.31,2026-02-10,701.84,F,1963-03-15,Juhayna,Primary,100058,,0.0,91,VISA-OLD,,,NORM
9,Ismailia,2023-07-16,100000,A,NORM,Normal,0,2026-02-20,Platinum Credit Card,0,0,45952.07,54007.79,15767.46,2026-02-25,78.76,M,1984-03-22,National Bank of Egypt,Secondary,100059,,0.0,31,MC-OLD,VISA-OLD2,,NORM
9,Ismailia,2023-07-16,100000,I,CLSB,Closed by Bank,0,2026-02-24,Travel Rewards Card,0,0,27911.4,72066.81,8093.09,2026-02-06,1408.01,M,1984-03-22,National Bank of Egypt,Secondary,100059,2026-02-13,0.0,31,MC-OLD,VISA-OLD2,,CLSB
1,Cairo Main,2021-01-08,200000,A,NORM,Normal,0,2026-02-14,World Elite Card,200,150,179057.77,20661.64,20974.85,2026-01-31,926.11,F,1994-04-21,Orange Egypt,Primary,100060,,0.0,62,VISA-OLD,,,NORM
1,Cairo Main,2021-01-08,200000,A,NORM,Normal,0,2026-02-23,Travel Rewards Card,200,150,28912.06,171079.61,1081.07,2026-02-24,203.35,F,1994-04-21,Orange Egypt,Primary,100060,,0.0,62,VISA-OLD,,,NORM
8,Zagazig,2022-07-31,50000,I,CLSB,Closed by Bank,0,2026-02-17,Platinum Credit Card,200,500,12844.51,37148.89,9383.46,2026-02-08,986.82,M,1975-08-10,Edita Food Industries,Primary,100061,2026-01-07,0.0,43,,,,CLSB
8,Zagazig,2022-07-31,50000,A,NORM,Normal,0,2026-02-18,Travel Rewards Card,200,500,34597.35,15391.17,2238.52,2026-02-07,362.32,M,1975-08-10,Edita Food Industries,Primary,100061,,0.0,43,,,,NORM
6,Assiut,2022-07-14,150000,A,NORM,Normal,0,2026-02-26,Platinum Credit Card,200,1000,14772.63,134925.01,28529.46,2026-02-02,31.35,F,1965-03-14,Vodafone Egypt,Primary,100062,,0.0,44,,,,NORM
6,Assiut,2022-07-14,150000,A,NORM,Normal,0,2026-02-23,Travel Rewards Card,200,1000,-8408.98,141199.79,891.58,2026-02-13,272.2,F,1965-03-14,Vodafone Egypt,Primary,100062,,0.0,44,,,,NORM
5,Tanta,2019-06-21,30000,A,NORM,Normal,0,2026-02-16,Gold Credit Card,100,150,2441.97,27365.58,1250.04,2026-02-06,1403.5,F,1984-08-20,Freelancer,Primary,100063,,0.0,81,MC-OLD,,,NORM
5,Tanta,2019-06-21,30000,A,NEW,New,0,2026-02-20,Cashback Card,100,150,8449.62,21315.59,8947.28,2026-02-03,1394.57,F,1984-08-20,Freelancer,Primary,100063,,0.0,81,MC-OLD,,,NEW
5,Tanta,2019-06-21,30000,A,NORM,Normal,0,2026-02-21,Business Credit Card,100,150,24850.08,4804.73,2745.68,2026-02-03,1892.07,F,1984-08-20,Freelancer,Primary,100063,,0.0,81,MC-OLD,,,NORM
2,Giza,2019-04-10,100000,I,CNCD,Cancelled,0,2026-02-14,World Elite Card,200,500,28585.25,71210.75,7671.37,2026-02-04,1440.72,F,1970-01-29,CIB,Secondary,100064,,0.0,83,,,,CNCD
